url,category,source
http://feeds.reuters.com/reuters/businessNews,Business,Reuters
http://feeds.reuters.com/reuters/entertainment,Entertainment,Reuters
http://feeds.reuters.com/reuters/environment,Science,Reuters
http://feeds.reuters.com/reuters/healthNews,Health,Reuters
http://feeds.reuters.com/reuters/lifestyle,Lifestyle,Reuters
http://feeds.reuters.com/news/wealth,Business,Reuters
http://feeds.reuters.com/Reuters/PoliticsNews,Politics,Reuters
http://feeds.reuters.com/reuters/scienceNews,Science,Reuters
http://feeds.reuters.com/reuters/sportsNews,Sports,Reuters
http://feeds.reuters.com/reuters/technologyNews,Technology,Reuters
http://feeds.reuters.com/Reuters/domesticNews,News,Reuters
http://feeds.reuters.com/Reuters/worldNews,News,Reuters
http://feeds.reuters.com/news/artsculture,Entertainment,Reuters
http://feeds.reuters.com/reuters/companyNews,Business,Reuters
http://feeds.reuters.com/reuters/environment,Science,Reuters
http://feeds.reuters.com/news/wealth,Business,Reuters
http://feeds.reuters.com/reuters/oddlyEnoughNews,Entertainment,Reuters
http://feeds.reuters.com/reuters/peopleNews,Entertainment,Reuters
http://feeds.reuters.com/reuters/topNews,News,Reuters
http://rss.cnn.com/rss/cnn_world.rss,News,CNN
http://rss.cnn.com/rss/cnn_us.rss,News,CNN
http://rss.cnn.com/rss/money_latest.rss,Business,CNN
http://rss.cnn.com/rss/cnn_allpolitics.rss,Politics,CNN
http://rss.cnn.com/rss/cnn_tech.rss,Technology,CNN
http://rss.cnn.com/rss/cnn_health.rss,Health,CNN
http://rss.cnn.com/rss/cnn_showbiz.rss,Entertainment,CNN
http://rss.cnn.com/rss/cnn_travel.rss,Lifestyle,CNN
http://feeds.foxnews.com/foxnews/entertainment,Entertainment,Fox News
http://feeds.foxnews.com/foxnews/health,Health,Fox News
http://feeds.foxnews.com/foxnews/section/lifestyle,Lifestyle,Fox News
http://feeds.foxnews.com/foxnews/politics,Politics,Fox News
http://feeds.foxnews.com/foxnews/science,Science,Fox News
http://feeds.foxnews.com/foxnews/sports,Sports,Fox News
http://feeds.foxnews.com/foxnews/tech,Technology,Fox News
http://feeds.foxnews.com/foxnews/internal/travel/mixed,Lifestyle,Fox News
http://feeds.foxnews.com/foxnews/national,News,Fox News
http://feeds.foxnews.com/foxnews/world,News,Fox News
http://feeds.bbci.co.uk/news/rss.xml,News,BBC
http://feeds.bbci.co.uk/news/world/rss.xml,News,BBC
http://feeds.bbci.co.uk/news/uk/rss.xml,News,BBC
http://feeds.bbci.co.uk/news/business/rss.xml,Business,BBC
